"시점","항공사별",여객 (명)
"시점","항공사별",계
"2018.02","아시아나항공",1921913
"2018.02","제주항공",1247316
"2018.02","진에어",891226
"2018.02","대한항공",2603990
"2018.02","티웨이항공",762857
"2018.02","외항사",2140665
"2018.03","아시아나항공",2160303
"2018.03","제주항공",1347276
"2018.03","진에어",1016255
"2018.03","대한항공",2772953
"2018.03","티웨이항공",760060
"2018.03","외항사",2191836
"2018.04","아시아나항공",2292905
"2018.04","제주항공",1365802
"2018.04","진에어",1150635
"2018.04","대한항공",3025544
"2018.04","티웨이항공",829264
"2018.04","외항사",2190736
"2018.05","아시아나항공",2247612
"2018.05","제주항공",1432666
"2018.05","진에어",1114230
"2018.05","대한항공",2968606
"2018.05","티웨이항공",850865
"2018.05","외항사",2173700
"2018.06","아시아나항공",2241454
"2018.06","제주항공",1421522
"2018.06","진에어",1136400
"2018.06","대한항공",2931640
"2018.06","티웨이항공",852625
"2018.06","외항사",2207645
"2018.07","아시아나항공",2240040
"2018.07","제주항공",1410727
"2018.07","진에어",1052470
"2018.07","대한항공",2838562
"2018.07","티웨이항공",856598
"2018.07","외항사",2316188
"2018.08","아시아나항공",2358700
"2018.08","제주항공",1494443
"2018.08","진에어",1114025
"2018.08","대한항공",3080869
"2018.08","티웨이항공",878314
"2018.08","외항사",2465130
"2018.09","아시아나항공",2135896
"2018.09","제주항공",1394302
"2018.09","진에어",1004022
"2018.09","대한항공",2774042
"2018.09","티웨이항공",775711
"2018.09","외항사",2210718
"2018.10","아시아나항공",2266881
"2018.10","제주항공",1417299
"2018.10","진에어",1063401
"2018.10","대한항공",2986599
"2018.10","티웨이항공",831045
"2018.10","외항사",2378313
"2018.11","아시아나항공",2107851
"2018.11","제주항공",1442347
"2018.11","진에어",962694
"2018.11","대한항공",2716078
"2018.11","티웨이항공",851401
"2018.11","외항사",2260084
"2018.12","아시아나항공",2015536
"2018.12","제주항공",1482406
"2018.12","진에어",1035090
"2018.12","대한항공",2701795
"2018.12","티웨이항공",899231
"2018.12","외항사",2361968
"2019.01","아시아나항공",2246042
"2019.01","제주항공",1550564
"2019.01","진에어",1015669
"2019.01","대한항공",2841979
"2019.01","티웨이항공",973694
"2019.01","외항사",2508401
"2019.02","아시아나항공",2058063
"2019.02","제주항공",1442343
"2019.02","진에어",982845
"2019.02","대한항공",2762827
"2019.02","티웨이항공",902103
"2019.02","외항사",2349355
"2019.03","아시아나항공",2122736
"2019.03","제주항공",1502151
"2019.03","진에어",1021509
"2019.03","대한항공",2823111
"2019.03","티웨이항공",940618
"2019.03","외항사",2353647
"2019.04","아시아나항공",2239942
"2019.04","제주항공",1428442
"2019.04","진에어",1125364
"2019.04","대한항공",2982162
"2019.04","티웨이항공",906943
"2019.04","외항사",2435079
"2019.05","아시아나항공",2278215
"2019.05","제주항공",1508444
"2019.05","진에어",1129555
"2019.05","대한항공",3058884
"2019.05","티웨이항공",930543
"2019.05","외항사",2422928
"2019.06","아시아나항공",2291759
"2019.06","제주항공",1542775
"2019.06","진에어",1067499
"2019.06","대한항공",3118721
"2019.06","티웨이항공",944048
"2019.06","외항사",2513443
"2019.07","아시아나항공",2238909
"2019.07","제주항공",1606000
"2019.07","진에어",1029318
"2019.07","대한항공",3086549
"2019.07","티웨이항공",950571
"2019.07","외항사",2619653
"2019.08","아시아나항공",2399695
"2019.08","제주항공",1755546
"2019.08","진에어",1088593
"2019.08","대한항공",3218595
"2019.08","티웨이항공",954809
"2019.08","외항사",2789050
"2019.09","아시아나항공",2080605
"2019.09","제주항공",1420066
"2019.09","진에어",930954
"2019.09","대한항공",2780086
"2019.09","티웨이항공",773589
"2019.09","외항사",2385298
"2019.10","아시아나항공",2349282
"2019.10","제주항공",1543340
"2019.10","진에어",1101542
"2019.10","대한항공",3097755
"2019.10","티웨이항공",896267
"2019.10","외항사",2619541
"2019.11","아시아나항공",2210619
"2019.11","제주항공",1438204
"2019.11","진에어",970777
"2019.11","대한항공",2826135
"2019.11","티웨이항공",933525
"2019.11","외항사",2449642
"2019.12","아시아나항공",2233899
"2019.12","제주항공",1539396
"2019.12","진에어",913284
"2019.12","대한항공",2898449
"2019.12","티웨이항공",958786
"2019.12","외항사",2595835
"2020.01","아시아나항공",2219101
"2020.01","제주항공",1587615
"2020.01","진에어",942459
"2020.01","대한항공",2958861
"2020.01","티웨이항공",966402
"2020.01","외항사",2617490
"2020.02","아시아나항공",1243611
"2020.02","제주항공",815546
"2020.02","진에어",382172
"2020.02","대한항공",1738592
"2020.02","티웨이항공",515753
"2020.02","외항사",1262492
"2020.03","아시아나항공",666148
"2020.03","제주항공",322821
"2020.03","진에어",220729
"2020.03","대한항공",549875
"2020.03","티웨이항공",374587
"2020.03","외항사",229331
"2020.04","아시아나항공",600582
"2020.04","제주항공",370090
"2020.04","진에어",275378
"2020.04","대한항공",506086
"2020.04","티웨이항공",361266
"2020.04","외항사",46648
"2020.05","아시아나항공",764720
"2020.05","제주항공",671430
"2020.05","진에어",455962
"2020.05","대한항공",736926
"2020.05","티웨이항공",627356
"2020.05","외항사",44177
"2020.06","아시아나항공",817274
"2020.06","제주항공",787842
"2020.06","진에어",580716
"2020.06","대한항공",709434
"2020.06","티웨이항공",714064
"2020.06","외항사",54213
"2020.07","아시아나항공",831257
"2020.07","제주항공",935327
"2020.07","진에어",816731
"2020.07","대한항공",762161
"2020.07","티웨이항공",873132
"2020.07","외항사",79652
"2020.08","아시아나항공",924205
"2020.08","제주항공",986598
"2020.08","진에어",1123009
"2020.08","대한항공",854057
"2020.08","티웨이항공",974824
"2020.08","외항사",91038
"2020.09","아시아나항공",668698
"2020.09","제주항공",636268
"2020.09","진에어",600971
"2020.09","대한항공",571774
"2020.09","티웨이항공",626467
"2020.09","외항사",73264
"2020.10","아시아나항공",829675
"2020.10","제주항공",1005567
"2020.10","진에어",949566
"2020.10","대한항공",881439
"2020.10","티웨이항공",966419
"2020.10","외항사",71557
"2020.11","아시아나항공",923254
"2020.11","제주항공",1039447
"2020.11","진에어",1082526
